Year,N,SU,J,H0m,H0f,H1f,H1m,Hadf,Hadm,C0,Cf,Cm,Area
1991,NA,1121,493,25,30,21,46,164,65,171,275,320,Snohetta
1992,NA,970,496,37,29,30,58,131,130,230,462,364,Snohetta
1993,NA,1129,560,30,23,14,65,143,108,30,61,52,Snohetta
1994,1992,1304,551,46,56,36,92,177,122,NA,NA,NA,Snohetta
1995,NA,606,227,47,44,26,54,214,132,181,457,301,Snohetta
1996,1953,953,434,46,64,32,68,220,127,226,404,370,Snohetta
1997,NA,1135,439,29,45,15,56,211,163,63,161,128,Snohetta
1998,1482,1268,578,45,42,17,57,222,128,207,433,364,Snohetta
1999,NA,1202,579,60,52,26,52,227,154,198,454,301,Snohetta
2000,2008,344,156,52,55,21,59,204,142,207,504,352,Snohetta
2001,NA,638,309,47,57,28,55,207,127,296,548,178,Snohetta
2002,1520,632,298,42,55,16,61,185,150,123,234,78,Snohetta
2003,1366,1148,551,23,16,4,31,62,54,245,454,163,Snohetta
2004,1935,891,464,41,36,14,35,128,118,247,467,174,Snohetta
2005,2434,1471,625,51,50,24,64,206,174,197,396,262,Snohetta
2006,NA,933,388,61,55,16,37,204,178,207,428,342,Snohetta
2007,NA,1334,588,38,41,11,26,129,97,189,258,238,Snohetta
2008,2161,1305,665,52,31,21,24,144,121,217,424,296,Snohetta
2009,NA,975,486,40,30,13,32,142,126,197,444,252,Snohetta
2010,2223,1158,565,56,73,14,59,170,127,236,591,422,Snohetta
2011,NA,1153,526,43,45,33,21,120,152,113,271,180,Snohetta
2012,NA,1609,754,44,46,26,18,146,149,276,615,443,Snohetta
2013,NA,1848,832,70,91,67,44,190,230,231,486,390,Snohetta
2014,NA,2057,894,98,102,61,43,235,313,227,478,347,Snohetta
1991,NA,461,296,35,34,9,36,100,87,72,183,165,Knutsho
1992,1022,793,407,16,20,11,25,72,70,130,253,165,Knutsho
1993,NA,655,335,35,23,7,36,92,53,125,164,154,Knutsho
1994,1280,794,423,39,39,18,37,137,82,238,399,297,Knutsho
1995,NA,702,475,36,43,14,31,114,83,163,269,203,Knutsho
1996,NA,419,243,49,55,28,25,150,121,224,406,348,Knutsho
1997,1433,823,447,45,45,24,35,141,146,150,277,225,Knutsho
1998,NA,808,468,51,32,16,33,127,118,189,289,226,Knutsho
1999,NA,497,292,58,57,24,54,204,175,195,320,244,Knutsho
2000,1230,697,359,50,44,32,39,158,152,140,243,165,Knutsho
2001,1164,663,347,30,27,10,34,67,79,192,298,238,Knutsho
2002,1249,726,426,58,49,12,40,135,108,193,324,229,Knutsho
2003,NA,592,342,46,39,21,25,105,91,143,274,181,Knutsho
2004,1205,594,285,32,27,11,17,97,54,238,385,297,Knutsho
2005,1246,830,413,19,25,11,22,85,58,247,449,363,Knutsho
2006,1375,433,139,48,40,22,35,113,85,235,428,373,Knutsho
2007,NA,918,419,26,24,13,11,77,72,159,234,181,Knutsho
2008,1526,1124,416,52,34,25,34,128,75,106,209,192,Knutsho
2009,1620,843,384,72,49,30,36,156,104,208,382,303,Knutsho
2010,NA,937,396,34,36,16,20,107,75,101,284,190,Knutsho
2011,NA,875,409,34,36,23,24,92,87,83,202,145,Knutsho
2012,NA,925,347,43,60,26,38,112,95,194,484,334,Knutsho
2013,NA,867,363,64,40,16,27,120,107,107,219,152,Knutsho
2014,NA,524,234,41,47,16,19,119,108,82,205,165,Knutsho
